answer_text,answer_start,question,context,subject,Task
صحفي وإعلامي,73, - من هو جمال أحمد حمزة خاشقجي؟ ,"جمال أحمد حمزة خاشقجي (13 أكتوبر 1958، المدينة المنورة - 2 أكتوبر 2018)، صحفي وإعلامي سعودي، رأس عدّة مناصب لعدد من الصحف في السعودية، وتقلّد منصب مستشار، كما أنّه مدير عام قناة العرب الإخبارية سابقًا.",جمال خاشقجي,Factoid
"حمزة خاشقجي (13 أكتوبر 1958، المدينة المنورة - 2 أكتوبر 2018)،",10, - متى ولد جمال أحمد حمزة خاشقجي وتوفي؟ ال,"جمال أحمد حمزة خاشقجي (13 أكتوبر 1958، المدينة المنورة - 2 أكتوبر 2018)، صحفي وإعلامي سعودي، رأس عدّة مناصب لعدد من الصحف في السعودية، وتقلّد منصب مستشار، كما أنّه مدير عام قناة العرب الإخبارية سابقًا.",جمال خاشقجي,Factoid
المدينة المنورة,39, - في أي مدينة ولد جمال أحمد حمزة خاشقجي؟ ال,"جمال أحمد حمزة خاشقجي (13 أكتوبر 1958، المدينة المنورة - 2 أكتوبر 2018)، صحفي وإعلامي سعودي، رأس عدّة مناصب لعدد من الصحف في السعودية، وتقلّد منصب مستشار، كما أنّه مدير عام قناة العرب الإخبارية سابقًا.",جمال خاشقجي,Factoid
واشنطن بوست,224, - في أي صحيفة قام بكتابة عمود منذ عام 2017؟ ال,"جمال أحمد حمزة خاشقجي (13 أكتوبر 1958، المدينة المنورة - 2 أكتوبر 2018)، صحفي وإعلامي سعودي، رأس عدّة مناصب لعدد من الصحف في السعودية، وتقلّد منصب مستشار، كما أنّه مدير عام قناة العرب الإخبارية سابقًا. ويكتب عموداً في صحيفة واشنطن بوست منذ 2017، وُصف في الصحف وأجهزة الاعلام العالمية بأنه ""وفيّ للدولة السعودية"" و""منتقد لسياساتها"".",جمال خاشقجي,Factoid
"وُصف في الصحف وأجهزة الاعلام العالمية بأنه ""وفيّ للدولة السعودية"" و""منتقد لسياساتها"".",246, - كيف وصفها في الصحف ووسائل الإعلام الدولية؟ ال,"جمال أحمد حمزة خاشقجي (13 أكتوبر 1958، المدينة المنورة - 2 أكتوبر 2018)، صحفي وإعلامي سعودي، رأس عدّة مناصب لعدد من الصحف في السعودية، وتقلّد منصب مستشار، كما أنّه مدير عام قناة العرب الإخبارية سابقًا. ويكتب عموداً في صحيفة واشنطن بوست منذ 2017، وُصف في الصحف وأجهزة الاعلام العالمية بأنه ""وفيّ للدولة السعودية"" و""منتقد لسياساتها"".",جمال خاشقجي,Non-factoid
"وتقلّد منصب مستشار،",135, - في أي منصب شغل في الجريدة؟ ال,"جمال أحمد حمزة خاشقجي (13 أكتوبر 1958، المدينة المنورة - 2 أكتوبر 2018)، صحفي وإعلامي سعودي، رأس عدّة مناصب لعدد من الصحف في السعودية، وتقلّد منصب مستشار، كما أنّه مدير عام قناة العرب الإخبارية سابقًا. ويكتب عموداً في صحيفة واشنطن بوست منذ 2017، وُصف في الصحف وأجهزة الاعلام العالمية بأنه ""وفيّ للدولة السعودية"" و""منتقد لسياساتها"".",جمال خاشقجي,Factoid
"في سبتمبر 2017،",21, - متى غادر خاشقجي السعودية؟ ال,"غادر خاشقجي السعودية في سبتمبر 2017، وكتب بعد ذلك مقالات صحفية انتقد فيها الحكومة السعودية. انتقد خاشقجي بصورة كبيرة ولي العهد السعودي محمد بن سلمان، والملك سلمان بن عبد العزيز. وكذلك عارض التدخل العسكري في اليمن.",جمال خاشقجي,Factoid
الحكومة السعودية.,74, - لمن ينتقده في مقالاته الإخبارية؟ ال,"غادر خاشقجي السعودية في سبتمبر 2017، وكتب بعد ذلك مقالات صحفية انتقد فيها الحكومة السعودية. انتقد خاشقجي بصورة كبيرة ولي العهد السعودي محمد بن سلمان، والملك سلمان بن عبد العزيز. وكذلك عارض التدخل العسكري في اليمن.",جمال خاشقجي,Factoid
"ولي العهد السعودي محمد بن سلمان، والملك سلمان بن عبد العزيز.",117, - لمن انتقد خاشقجي بشدة في مقالاته الإخبارية؟ ال,"غادر خاشقجي السعودية في سبتمبر 2017، وكتب بعد ذلك مقالات صحفية انتقد فيها الحكومة السعودية. انتقد خاشقجي بصورة كبيرة ولي العهد السعودي محمد بن سلمان، والملك سلمان بن عبد العزيز. وكذلك عارض التدخل العسكري في اليمن.",جمال خاشقجي,Factoid
المملكة العربية السعودية),21, - أي دولة هي أكبر دولة في الشرق الأوسط؟ ال,"السعودية أو (رسميًا: المملكة العربية السعودية) هي دولة عربية، وتعد أكبر دولة في الشرق الأوسط وتقع تحديدًا في الجنوب الغربي من قارة آسيا وتشكل الجزء الأكبر من شبه الجزيرة العربية إذ تبلغ مساحتها حوالي مليوني كيلومتر مربع.",السعودية,Factoid
الجنوب الغربي,109, - أين تقع المملكة العربية السعودية في آسيا؟ ال,"السعودية أو (رسميًا: المملكة العربية السعودية) هي دولة عربية، وتعد أكبر دولة في الشرق الأوسط وتقع تحديدًا في الجنوب الغربي من قارة آسيا وتشكل الجزء الأكبر من شبه الجزيرة العربية إذ تبلغ مساحتها حوالي مليوني كيلومتر مربع.",السعودية,Factoid
حوالي مليوني كيلومتر مربع.,194, - ما هي مساحة الجزء الأكبر من شبه الجزيرة العربية؟ ال,"السعودية أو (رسميًا: المملكة العربية السعودية) هي دولة عربية، وتعد أكبر دولة في الشرق الأوسط وتقع تحديدًا في الجنوب الغربي من قارة آسيا وتشكل الجزء الأكبر من شبه الجزيرة العربية إذ تبلغ مساحتها حوالي مليوني كيلومتر مربع.",السعودية,Factoid
يحدها من الشمال العراق والأردن,199, - ما هي الحدود في الشمال؟ ال,"السعودية ورسميًا المملكة العربية السعودية هي أكبر دولة في الشرق الأوسط وتقع تحديدًا في الجنوب الغربي من قارة آسيا وتشكل الجزء الأكبر من شبه الجزيرة العربية إذ تبلغ مساحتها حوالي مليوني كيلومتر مربع. يحدها من الشمال العراق والأردن وتحدها الكويت من الشمال الشرقي، ومن الشرق تحدها كل من قطر والإمارات العربية المتحدة بالإضافة إلى البحرين التي ترتبط بالسعودية من خلال جسر الملك فهد الواقع على الخليج العربي، ومن الجنوب تحدها اليمن، وعُمان من الجنوب الشرقي، كما يحدها البحر الأحمر من جهة الغرب.",السعودية,Factoid
