answer_text,answer_start,question,context,subject,Task
بطولتين,394,كم عدد مرات فوز الأوروغواي ببطولة كاس العالم لكرو القدم؟,"أقيمت البطولة 21 مرة، شارك في النهائيات 78 دولة، وعدد الفرق التي فازت بالبطولة حتى الآن 8 فرق، ويعد المنتخب البرازيلي الأكثر تتويجاً بالكأس حيث فاز بها 5 مرات أعوام: 1958، 1962، 1970، 1994 و2002. يليه المنتخب الإيطالي الذي أحرزها 4 مرات في أعوام: 1934، 1938، 1982 و2006، بالمشاركة مع المنتخب الألماني الذي حققها 4 مرات أيضاً أعوام: 1954، 1974 و1990 و2014، ثم الأوروغواي والأرجنتين وفرنسا برصيد بطولتين. بينما أحرزت منتخبات إنجلترا وإسبانيا البطولة مرة واحدة.",قائمة نهائيات كأس العالم,Non-factoid
بيير كوري) وأخوه (جاك,53,من هو مكتشف المرو أو الكوارتز ؟,"المرو أو الكوارتز  هو معدن يعود اكتشافه إلى الفرنسي (بيير كوري) وأخوه (جاك) اللذان كانا يدرسان عينة من الرمل في سنة 1880 حيث لاحظا ظاهرة غريبة، وهي انه عند تعريض الكوارتز (ثاني أكسيد السيليكون) لجهد آلي فإنه يتولد تيار كهربائي، وبالعكس ففي حال تعرضت بلورة الكوارتز لمجال كهربائي، فإنها تتذبذب وتهتز بتردد معين، كما وجد أن هذا الاهتزاز والتذبذب يتسم بالانتظام والدقة العالية. هذه الظاهرة والتي عرفت بالبيزوكهربائية ، مكنت الباحثين من تصنيع الكثير من الأجهزة الحساسة، من أهمها الساعات المصممة لقياس الوقت بدقة عالية، حيث بلغ نصيب الكوارتز في صناعة الساعات أكثر من 85% من سوق الساعات العالمية. ويعود أول نموذج لساعة مصنوعة من الكوارتز إلى سنة 1967 حيث تم إنتاج هذه الساعة من قبل الباحثين في مركز الساعات الإلكترونية في نويشتل في سويسرا، وفي سنة 1969 تمت صناعة أول ساعة كوارتز في اليابان من قبل سيكو اليابانية تحت اسم أسترون.",مرو (معدن),Factoid
عن طريق الحبل السري,96,كيف يتصل الجنين بالرحم ؟," المَشِيمَة أو الخَلاَص أو السُخْد (بالإنجليزية: Placenta) هي عضو دائري مسطح الشكل يتصل بالجنين عن طريق الحبل السري في الرحم، وتخرج المشيمة من رحم الأم بعد المرحلة الثالثة من الولادة.[1]",مشيمة,Non-factoid
مدينة جبيل اللبنانية,48,أين يقع مسجد السلطان عبد المجيد؟,"مسجد السلطان عبد المجيد، هو مسجد أثري تاريخي في مدينة جبيل اللبنانية شيد في العهد الأيوبي على أنقاض مسجد بني في عهد الخلفاء الراشدين، ثم اعيد ترميمه في عهد العثمانيين، تعلوه قبة نصف كروية وعلى زاويته الشمالية الغربية مئذنة مثمنة الشكل.[1]",مسجد السلطان عبد المجيد,Non-factoid
تبليسي,31,ما عاصمة جورجيا؟,"رغم سيطرة المسلمين على العاصمة تبليسي في 645 م، حافظت كارتلي - ايبيريا على استقلال كبير في ظل الحكام المسلمين المحليين.[17] أصبح الأمير آشوت الأول (المعروف أيضاً آشوت كورابالات) عام 813 م أول حاكم للمملكة من أسرة باغراتيوني. افتتح عهد أشوت ما يقرب من 1000 سنة من حكم بيت باغراتيوني لجزء من الجمهورية الحالية على الأقل.",جورجيا,Factoid
110,110,ما هو عدد آيات سورة الكهف ؟,"سورة الكهف هي سورةٌ مكيةٌ رقمها 18، تسبق سورة مريم وتلحق سورة الإسراء، في ترتيب سور القرآن الكريم. عدد آياتها 110 آية، وهي من السور المكية المتأخرة في النزول، إذ أن ترتيب نزولها 69. تتوسط السورة القرآن الكريم، فهي تقع في الجزئين الخامس عشر والسادس عشر، 8 صفحات في نهاية الجزء الخامس عشر و 3 في بداية الجزء السادس عشر. تتناول السورة عدة مواضيع، تدور حول التحذير من الفتن، والتبشير والإنذار، وذكر بعض االمشاهد من يوم القيامة، كما تناولت عدة قصص، كقصة أصحاب الكهف الذين سُميّت السورة لذكر قصتهم فيها.",سورة الكهف,Factoid
أثناء نومه,84,ما سبب وفاة لاعب كمال الأجسام ناصر السنباطي؟,"توفي ناصر السنباطي يوم 20 مارس 2013 في القاهرة (زيارة) عن عمر ناهز 47 عام، حيث توفى أثناء نومه[1].",ناصر السنباطي,Non-factoid
جيمس واط,24,من هو مخترع المحرك البخاري؟,"مخترع المحرك البخاري هو جيمس واط (1736 – 1819م) كان مهندسا اسكتلندي، ولد في جرينوك من أب كان يعمل بالتجارة دون أن يحقق نجاحا. تلقى واط تدريبه عند صانع للأدوات في لندن. ثم عاد إلى جلاسجو ليعمل في مهنته. وقد كان واط على علاقة صداقة قوية مع الفيزيائي جوزيف بلاك مكتشف الحرارة الكامنة، وكان لهذه الصداقة الأثر الهام في توجيه واط إلى الاهتمام بالطاقة الحرارية وتوصل إلى أنه يمكن الاستفادة من البخار كقوة محركة. وقد أجرى عدة تجارب للاستفادة من ضغط البخار. ثم وقع في يده محرك بخاري من طراز نيوكومن فاخترع له مكثفا وأجرى عليه بعض التعديلات والتحسينات مثل إدخال المضخة الهوائية وغلاف لأسطوانة البخار وزوده بمؤشر للبخار، مما جعل المحرك البخاري آلة تجارية ناجحة. وقد أدعى واط  اكتشاف تركيب المتاء قبل كافندش أو في نفس الوقت. وقد سميت وحدة القدرة الكهربية باسم واط تخليدا له. أسس واط بالاشتراك مع بولتون شركة هندسية هي شركة سوهو للأعمال الهندسية، وقدأدخل الشريكان مصطلح وحدة القدرة الحصانية H.P)Horse Power) حيث 1 كيلوواط =0.746 HP.",محرك بخاري,Factoid
14 أيار / مايو 1948,51,متى تمت كتابة وثيقة إعلان قيام دولة إسرائيل ؟,    وثيقة إعلان قيام دولة إسرائيل هي وثيقة كتبت في 14 أيار / مايو 1948 بعد انتهاء الانتداب البريطاني على فلسطين وإعلان ديفيد بن غوريون الرئيس التنفيذي للمنظمة الصهيونية العالمية ومدير الوكالة اليهودية قيام الدولة الإسرائيلية وعودة الشعب اليهودي إلى ما أسماه أرضه التاريخية.[1][2][3],وثيقة إعلان قيام دولة إسرائيل,Factoid
البراق,325,ما كان إسم حصان الرسول صلي الله عليه وسلم ؟,  حسب مصادر التراث الإسلامي فإنها حملت الرسول محمد من مكة في تهامة إلى المسجد الأقصى في بيت المقدس ليلة الإسراء والمعراج. وعند وصوله ربطها عند جدار يعرفه المسلمون بحائط البراق [1][2]. ووصف في صحيح البخاري بأنه أبيض دون البغل وفوق الحمار [3]. ويقال في تسمية الحائط الغربي للمسجد الأقصى - بحائط البراق أن الملاك جبريل قام بربط البراق بالحائط إلى أن دخل النبي محمد إلى المسجد وصلى في المسجد ثم رجع إليها ليصعد بها إلى السماوات ثم عاد به إلى مكة مرة أخرى [4][5].,البراق (دابة),Factoid
